f,mr,cov,id
CHG_AMES-8235.meth_lev.txt,0.0727272727272727,7.31818181818182,AMES8235
CHG_PI-620767.meth_lev.txt,0.655982905982906,6.97435897435897,PI620767
CHG_PI-620773.meth_lev.txt,0.0108695652173913,6,PI620773
CHG_PI-620774.meth_lev.txt,0.0123456790123457,5.25925925925926,PI620774
CHG_PI-620784.meth_lev.txt,0.0595238095238095,5.77142857142857,PI620784
CHG_PI-620785.meth_lev.txt,0.806434240362812,6.80952380952381,PI620785
CHG_PI-620797.meth_lev.txt,0.290229885057471,5.44827586206897,PI620797
CHG_PI-620819.meth_lev.txt,0.0123456790123457,6.81481481481481,PI620819
CHG_PI-620821.meth_lev.txt,0.734959349593496,6.68292682926829,PI620821
CHG_PI-620834.meth_lev.txt,0.831776556776557,7.80769230769231,PI620834
CHG_PI-620842.meth_lev.txt,0,4.94117647058824,PI620842
CHG_PI-620846.meth_lev.txt,0.790786749482402,9.1304347826087,PI620846
CHG_PI-620856.meth_lev.txt,0.0170454545454545,6.95454545454545,PI620856
CHG_PI-620859.meth_lev.txt,0.008130081300813,6.34146341463415,PI620859
CHG_PI-620860.meth_lev.txt,0.00378787878787879,7.63636363636364,PI620860
CHG_PI-628503.meth_lev.txt,0.0384615384615385,4,PI628503
CHG_PI-628514.meth_lev.txt,0,5.3,PI628514
