Chr	start	end	Gene	Chain	Chr_TE	start_TE	end_TE	Overlap_bp
1	92299	95134	Zm00001d027232	-	1	83250	92305	6
1	92299	95134	Zm00001d027232	-	1	94907	100127	227
1	196942	199159	Zm00001d027239	-	1	183340	197296	354
1	199345	205715	Zm00001d027240	-	1	199283	209113	6370
1	209979	215403	Zm00001d027242	-	1	209114	220714	5424
1	217904	219526	Zm00001d027244	-	1	209114	220714	1622
1	225862	243688	Zm00001d027245	+	1	231818	241455	9637
1	225862	243688	Zm00001d027245	+	1	220934	238633	12771
1	1198058	1206947	Zm00001d027273	+	1	1200222	1205151	4929
1	1226063	1236227	Zm00001d027276	-	1	1218202	1226514	451
1	1226063	1236227	Zm00001d027276	-	1	1220550	1226296	233
1	1226063	1236227	Zm00001d027276	-	1	1230060	1241226	6167
1	1231545	1236335	Zm00001d027277	-	1	1230060	1241226	4790
1	1492439	1533158	Zm00001d027278	+	1	1516496	1521697	5201
1	1547137	1548341	Zm00001d027279	+	1	1541941	1550025	1204
1	1816514	1818676	Zm00001d027285	+	1	1813472	1817220	706
1	2157230	2170332	Zm00001d027299	-	1	2168953	2186160	1379
1	2233954	2241438	Zm00001d027300	-	1	2234034	2243433	7404
1	2292603	2293985	Zm00001d027303	-	1	2289561	2296504	1382
1	2746424	2749031	Zm00001d027311	+	1	2745956	2751210	2607
1	2809751	2811917	Zm00001d027314	+	1	2811899	2818745	18
1	2812496	2813750	Zm00001d027315	-	1	2811899	2818745	1254
1	2869707	2878262	Zm00001d027319	+	1	2872819	2874499	1680
1	2878535	2889452	Zm00001d027320	-	1	2879194	2885424	6230
1	2883539	2892612	Zm00001d027321	+	1	2879194	2885424	1885
1	2959502	2972168	Zm00001d027324	+	1	2956231	2968961	9459
1	2959502	2972168	Zm00001d027324	+	1	2962197	2966546	4349
1	2977014	2997162	Zm00001d027326	-	1	2983892	2989609	5717
1	2977014	2997162	Zm00001d027326	-	1	2978044	2983891	5847
1	3095308	3095604	Zm00001d027332	-	1	3081149	3096715	296
1	3124648	3135817	Zm00001d027334	+	1	3132095	3133472	1377
1	3172313	3176736	Zm00001d027335	-	1	3171475	3174402	2089
1	3272230	3288228	Zm00001d027340	+	1	3280434	3285258	4824
1	3272230	3288228	Zm00001d027340	+	1	3286047	3288717	2181
1	3292884	3294726	Zm00001d027342	-	1	3293922	3296433	804
1	3368268	3369884	Zm00001d027343	+	1	3364341	3377836	1616
1	3371324	3374866	Zm00001d027344	+	1	3364341	3377836	3542
1	3377702	3378405	Zm00001d027345	-	1	3364341	3377836	134
1	3441886	3443394	Zm00001d027348	+	1	3440253	3450539	1508
1	3443598	3446350	Zm00001d027349	-	1	3440253	3450539	2752
1	3448500	3452123	Zm00001d027350	-	1	3440253	3450539	2039
1	3544521	3549369	Zm00001d027354	+	1	3541541	3554209	4848
1	3691497	3691825	Zm00001d027360	+	1	3690417	3691988	328
1	3741739	3744408	Zm00001d027361	+	1	3727060	3755447	2669
1	3741739	3744408	Zm00001d027361	+	1	3728752	3752076	2669
1	3842248	3847295	Zm00001d027369	+	1	3840297	3848641	5047
1	3960300	3964921	Zm00001d027373	+	1	3959524	3979131	4621
1	3966724	3968357	Zm00001d027374	-	1	3959524	3979131	1633
1	3971512	3972133	Zm00001d027375	+	1	3959524	3979131	621
1	3974143	3987696	Zm00001d027376	-	1	3985300	3987758	2396
1	3974143	3987696	Zm00001d027376	-	1	3959524	3979131	4988
1	3985726	3987731	Zm00001d027379	-	1	3985300	3987758	2005
1	4216772	4220361	Zm00001d027391	-	1	4214639	4220190	3418
1	4220852	4296236	Zm00001d027392	+	1	4250463	4250742	279
1	4220852	4296236	Zm00001d027392	+	1	4253187	4255973	2786
1	4220852	4296236	Zm00001d027392	+	1	4277522	4277710	188
1	4220852	4296236	Zm00001d027392	+	1	4288874	4288955	81
1	4341041	4351530	Zm00001d027395	+	1	4344697	4358928	6833
1	4494975	4499451	Zm00001d027403	-	1	4480214	4497671	2696
1	4494975	4499451	Zm00001d027403	-	1	4455560	4531962	4476
1	4586019	4588240	Zm00001d027406	-	1	4572295	4589982	2221
1	4600214	4601914	Zm00001d027407	-	1	4598973	4608800	1700
1	4604071	4604541	Zm00001d027408	-	1	4598973	4608800	470
1	4744402	4745151	Zm00001d027414	+	1	4737918	4747921	749
1	4832874	4838381	Zm00001d027415	+	1	4817045	4836785	3911
1	4846995	4847327	Zm00001d027417	-	1	4846170	4850879	332
1	4979131	4994850	Zm00001d027425	-	1	4981067	4984985	3918
1	5202748	5208577	Zm00001d027435	+	1	5191287	5209328	5829
1	5431259	5434466	Zm00001d027441	+	1	5424312	5473884	3207
1	5434308	5435871	Zm00001d027442	-	1	5424312	5473884	1563
1	5463952	5466250	Zm00001d027443	-	1	5424312	5473884	2298
1	5469651	5477988	Zm00001d027444	+	1	5475428	5477337	1909
1	5469651	5477988	Zm00001d027444	+	1	5424312	5473884	4233
1	5661737	5663089	Zm00001d027456	-	1	5656380	5673706	1352
1	5706025	5712786	Zm00001d027459	-	1	5712647	5720465	139
1	5893819	5906194	Zm00001d027466	-	1	5895299	5908610	10895
1	5893819	5906194	Zm00001d027466	-	1	5897945	5903262	5317
1	5908533	5913510	Zm00001d027467	+	1	5895299	5908610	77
1	6027852	6032982	Zm00001d027470	-	1	6027598	6031791	3939
1	6068283	6161610	Zm00001d027472	-	1	6082502	6087997	5495
1	6068283	6161610	Zm00001d027472	-	1	6115079	6116839	1760
1	6068283	6161610	Zm00001d027472	-	1	6120158	6124352	4194
1	6068283	6161610	Zm00001d027472	-	1	6136805	6143638	6833
1	6068283	6161610	Zm00001d027472	-	1	6089551	6104675	15124
1	6068283	6161610	Zm00001d027472	-	1	6107069	6112775	5706
1	6068283	6161610	Zm00001d027472	-	1	6153899	6168334	7711
1	6125778	6145963	Zm00001d027474	-	1	6136805	6143638	6833
1	6154221	6161610	Zm00001d027475	-	1	6153899	6168334	7389
1	6207107	6208223	Zm00001d027476	+	1	6190376	6230431	1116
1	6207107	6208223	Zm00001d027476	+	1	6190402	6214014	1116
1	6293847	6294413	Zm00001d027483	-	1	6280405	6297601	566
1	6296235	6300940	Zm00001d027484	-	1	6280405	6297601	1366
1	6319205	6328780	Zm00001d027487	-	1	6316693	6330680	9575
1	6407153	6409815	Zm00001d027488	+	1	6398687	6410711	2662
1	6551336	6554451	Zm00001d027494	+	1	6552370	6560699	2081
1	6556059	6558427	Zm00001d027495	+	1	6552370	6560699	2368
1	6567895	6569220	Zm00001d027497	-	1	6565923	6573308	1325
1	6607016	6608379	Zm00001d027498	+	1	6605565	6607170	154
1	6829809	6840626	Zm00001d027503	-	1	6833620	6844548	7006
1	7028338	7034080	Zm00001d027506	+	1	7019935	7035718	5742
