Chr	Pos	CHG_JRIAL2A	CHG_JRIAL2B	CHG_JRIAL2C	CHG_JRIAL2D	CHG_JRIAL2E	CHG_JRIAL2F	CHG_JRIAL2G	CHG_JRIAL2H	CHG_JRIAL2I	CHG_JRIAL2J	CHG_JRIAL2K	CHG_JRIAL2L	CHG_JRIAL2M	CHG_JRIAL2N	CHG_JRIAL2O	CHG_JRIAL2P	CHG_JRIAL2Q	CHG_JRIAL2R	CHG_JRIAL2S	CHG_JRIAL2T
1	500000.5	0.700650980799527	0.695095308044459	0.715232104303414	0.700553982311159	0.701856975944135	0.68013667796878	0.703542487378685	0.689598004317846	0.710885937260588	0.664481254482242	0.707573596637098	0.69224159386966	0.735089952143919	0.710947182728464	0.731895781751074	0.728949067119496	0.702841829568565	0.720726870002078	0.715149714796255	0.6876270289314
1	1500000.5	0.706742850560146	0.698875122793181	0.719897295667998	0.708073359093746	0.721035296089538	0.708271762952054	0.706425755528119	0.698342802505029	0.717531259957809	0.676455133878098	0.709805373205253	0.70793611976832	0.73878734784653	0.717774674804263	0.745170135805803	0.736355880678631	0.715733277918708	0.720267145878408	0.729907085498831	0.694832860556004
1	2500000.5	0.564340019957899	0.5578317388316	0.585775310522724	0.551154930099028	0.604667437719102	0.587261649694658	0.577842068841823	0.545447411809604	0.58023550604279	0.532294149206892	0.57959856867757	0.585748827368488	0.613551492257236	0.585022869182022	0.591627871107302	0.58813450096404	0.580887855290999	0.601429686693294	0.602403801416777	0.564013975444744
1	3500000.5	0.474217049635052	0.498967003939021	0.492238991020425	0.495707042500365	0.49690345953995	0.492939318357814	0.511754601928465	0.494047973790951	0.488789173295535	0.462056947974991	0.49809962286249	0.499153760863339	0.538966272122571	0.516677716414484	0.538226731023956	0.524246437470761	0.493527606513847	0.510454826195022	0.545344190577031	0.493237429095943
1	4500000.5	0.542435516802881	0.52631031763542	0.561092014683061	0.56220852094422	0.556823926483384	0.520300201435792	0.550106668741181	0.535423517107422	0.526943326781929	0.528667446799225	0.56737694920448	0.528940862541484	0.586508304538876	0.558634784784207	0.584647207148667	0.584261986753177	0.541322127202031	0.557557976884179	0.556240202114234	0.546895150575001
1	5500000.5	0.466016832275824	0.462438184800093	0.526228096415752	0.489427516194791	0.507582013070927	0.480220809197069	0.493192127873531	0.509329270670148	0.482613650713289	0.45971700131173	0.496307516156361	0.490547517018722	0.525310247182248	0.497121900235403	0.539559155576458	0.521789223155749	0.504442314021171	0.499963783100461	0.527304370492386	0.500718879326701
1	6500000.5	0.559916700038563	0.571351370567743	0.59419408731044	0.574318747430504	0.598130900346429	0.568330694429784	0.58504095635025	0.574142319207118	0.56718991442766	0.554171976151586	0.605455800435972	0.580866150882616	0.598448286942926	0.592007275969647	0.613796434766144	0.612150924435513	0.582832799766222	0.5976187288858	0.609052648547819	0.574720876337228
1	7500000.5	0.567057666128959	0.568827568540029	0.584833452735404	0.597028622364057	0.59499394235278	0.574953163522302	0.585487481559511	0.553701560249235	0.579759634395675	0.533845649309368	0.593000973270258	0.574952772561566	0.59283201767577	0.596704459542327	0.61172700538771	0.595154035505465	0.588938322026815	0.594390754885875	0.615301442956885	0.577916578711029
1	8500000.5	0.552185327635662	0.561988864569607	0.564898629118027	0.56276757424818	0.566824751575097	0.564531172858389	0.560286809071757	0.559974946038195	0.563957199084627	0.534898315566502	0.584796641934355	0.573053930544143	0.596014586544774	0.58078773188188	0.593068937614005	0.59524612804148	0.573849057868609	0.577351709995646	0.579475730568863	0.560058404754742
1	9500000.5	0.551918119610749	0.561277852022818	0.57187489513356	0.590655445345692	0.604108322722363	0.573281133448428	0.561693884197915	0.574856281560431	0.581478865574487	0.536676218475789	0.56316932206372	0.586506087299591	0.626080872378513	0.598885117507658	0.615800387724676	0.615346848079513	0.584755206455246	0.610005438955284	0.574233683287698	0.574285521563418
1	10500000.5	0.589277306796439	0.59117434635963	0.602500301280539	0.598920944662844	0.631975174276576	0.585034413803321	0.586841788543028	0.594499950627947	0.619062780004022	0.566185752091428	0.622242266574668	0.592024091928999	0.629686226302927	0.610652835906135	0.645661642335568	0.629134107125533	0.599008423038204	0.625227879420796	0.614012250271193	0.606560355174619
1	11500000.5	0.621729889421712	0.635250875628402	0.641866329991932	0.628947444682617	0.65087056618999	0.627772638343198	0.628122785945884	0.621578435271726	0.643466972815203	0.608944305446103	0.658825048170844	0.634774605453411	0.629037663785763	0.655805002541	0.636680644454018	0.656024321716603	0.617076816705368	0.632462406534549	0.640106476008814	0.623304322412742
