id	POP	pc1	pc2	pc3	eigenval
JRIAL2A	TEO	-0.178445	-0.0381081	-0.0320612	6.11036
JRIAL2B	TEO	-0.166585	-0.0149538	0.0151913	2.05464
JRIAL2C	TEO	-0.167307	-0.0197992	0.0273369	1.77703
JRIAL2D	TEO	-0.160801	-0.00323927	-0.0160584	1.75716
JRIAL2E	TEO	-0.16413	-0.0140721	0.0258211	1.69474
JRIAL2F	TEO	-0.175177	-0.013463	-0.0401038	1.6713
JRIAL2G	TEO	-0.156848	-0.015453	0.0652615	1.61756
JRIAL2H	TEO	-0.154227	-0.017945	-0.021233	1.60088
JRIAL2I	TEO	-0.17604	-0.0303272	0.00589461	1.57828
JRIAL2J	TEO	-0.167645	-0.0190645	0.00347445	1.56702
JRIAL2K	TEO	-0.181987	-0.0218296	0.329918	1.53097
JRIAL2L	TEO	-0.169836	-0.0325826	0.0398332	1.52443
JRIAL2M	TEO	-0.155966	-0.00332021	-0.0930716	1.50979
JRIAL2N	TEO	-0.138165	0.00450876	-0.0342868	1.49277
JRIAL2O	TEO	-0.170112	-0.011012	-0.0230629	1.47558
JRIAL2P	TEO	-0.170048	-0.0129321	0.00139369	1.46266
JRIAL2Q	TEO	-0.182391	-0.0208528	-0.00533175	1.44318
JRIAL2R	TEO	-0.157124	-0.00881701	0.00488703	1.42475
JRIAL2S	TEO	-0.151419	-0.0111408	0.0151021	1.4186
JRIAL2T	TEO	-0.0828553	0.000749902	0.0212309	1.41506
AMES-8235	LR	0.100546	0.137841	-0.0984576	1.39633
PI-620767	LR	0.091307	0.153765	-0.150161	1.3509
PI-620773	LR	0.126992	0.118213	0.0627403	1.32576
PI-620774	LR	0.116564	0.153596	0.00985795	1.30734
PI-620784	LR	0.108307	0.137421	-0.0670492	1.28829
PI-620785	LR	0.0840998	0.163149	-0.150492	1.2579
PI-620797	LR	0.0887099	0.166874	-0.0929033	1.24122
PI-620819	LR	0.113488	0.155179	0.0107606	1.20367
PI-620821	LR	0.0974588	0.155992	-0.125279	1.14555
PI-620834	LR	0.0864402	0.137112	-0.118926	1.12437
PI-620842	LR	0.112926	0.145908	0.00187819	1.10679
PI-620846	LR	0.081038	0.217156	-0.223907	1.07285
PI-620856	LR	0.10226	0.129294	-0.0854733	1.05892
PI-620859	LR	0.104603	0.102877	-0.0512181	1.00397
PI-620860	LR	0.119891	0.132279	0.0437497	0.972113
PI-628503	LR	0.124303	0.137755	0.0608329	0.955505
PI-628514	LR	0.115967	0.155547	0.0301792	0.939588
A632	MZ	0.145475	-0.12261	0.100384	0.930956
B37	MZ	0.144805	-0.142659	0.101524	0.89819
B73	MZ	0.136202	-0.0648218	0.0918436	0.88996
B97	MZ	0.141135	-0.0802337	0.108383	0.86937
CML322	MZ	0.134186	0.0845547	0.111281	0.863389
HP301	MZ	0.129447	-0.167705	-0.0197374	0.848855
IL14	MZ	0.118889	-0.36147	-0.387622	0.843837
LH123HT	MZ	0.169558	-0.203435	0.240819	0.817303
LH82	MZ	0.14769	-0.192882	0.240913	0.805078
Mo17	MZ	0.148032	-0.168204	0.162273	0.801681
Oh43	MZ	0.147256	-0.161482	0.145806	0.78823
P39	MZ	0.118969	-0.459141	-0.52646	0.773845
PHZ51	MZ	0.15532	-0.241759	0.195268	0.556778
Tx303	MZ	0.140921	0.0428953	0.134418	-0.354381
