Chr	Pos	CpG_JRIAL2A	CpG_JRIAL2B	CpG_JRIAL2C	CpG_JRIAL2D	CpG_JRIAL2E	CpG_JRIAL2F	CpG_JRIAL2G	CpG_JRIAL2H	CpG_JRIAL2I	CpG_JRIAL2J	CpG_JRIAL2K	CpG_JRIAL2L	CpG_JRIAL2M	CpG_JRIAL2N	CpG_JRIAL2O	CpG_JRIAL2P	CpG_JRIAL2Q	CpG_JRIAL2R	CpG_JRIAL2S	CpG_JRIAL2T
1	500000.5	0.838354548968841	0.854537870438415	0.844923331472237	0.842124542525773	0.828657382962978	0.823630182862092	0.844177006421744	0.838621707378974	0.853828048899525	0.833726410286316	0.842292039515652	0.838089298000087	0.864380256568371	0.850884211050661	0.851090740480831	0.859153393946858	0.841699330282729	0.854591698960807	0.855770300904919	0.842760237196
1	1500000.5	0.820530056968029	0.827927164524305	0.828625118492539	0.825073953498459	0.823385957443867	0.82230296792609	0.823804531333535	0.816953606479349	0.834780065297153	0.818406433375128	0.822308710728267	0.833519894890879	0.839444536602317	0.839408729940817	0.838031839538745	0.843105194769467	0.83562943444354	0.837872768787027	0.834124748827353	0.827388776439675
1	2500000.5	0.72939810675057	0.736120579663874	0.739043813514082	0.718591056983432	0.750558637134633	0.747954610430856	0.74647524819802	0.724272452136925	0.748230768784606	0.726834340515163	0.740995195472689	0.750967929648181	0.763364459141961	0.75103509248073	0.737195704191339	0.757561681853534	0.752042139285772	0.763630443243051	0.753888208996948	0.74051091303132
1	3500000.5	0.640810295757293	0.676507091314071	0.652134915015965	0.656272415131266	0.651282536777617	0.65926324016937	0.668540309544368	0.660993406893112	0.659346381406294	0.64852992701613	0.659127147711298	0.670697919919111	0.69344754129446	0.679331111946149	0.687045948057457	0.690077319721208	0.667942418765089	0.682446545910718	0.698136803469488	0.666059226779984
1	4500000.5	0.692452440550639	0.69197875228489	0.704340350405773	0.708313120087586	0.697530369981917	0.67257172061356	0.696796428305896	0.688856577585383	0.682228407551302	0.699194831059663	0.703634258040559	0.68990697345843	0.721764473900199	0.708478305274086	0.715848024454508	0.730049920921995	0.697459209369809	0.708704024766573	0.701839616459691	0.712706215242839
1	5500000.5	0.61953405119022	0.623338542977637	0.660094739911523	0.62757319255538	0.636465857593401	0.621713327945232	0.632514649603407	0.660573059128691	0.63898698148963	0.629037429692145	0.63902979922225	0.647584952768487	0.664292973211855	0.638175847646742	0.67265947302295	0.665628441466856	0.660959740604726	0.643234406362617	0.660328561881217	0.63916485615646
1	6500000.5	0.69904898008759	0.720462937395323	0.724808290759375	0.714338909301025	0.723444961782282	0.704561326687739	0.722239304083731	0.719549147776956	0.715574306174382	0.722715658768757	0.738479640908307	0.724879451962265	0.718944851902802	0.725110904384678	0.726812111615028	0.749125974489687	0.73525930414971	0.731663448186285	0.734666197345621	0.720205319370018
1	7500000.5	0.688567865760426	0.701723606365896	0.696779767682305	0.717934590476382	0.704762286602639	0.700202699005277	0.701237883644351	0.689766463379061	0.707794250477377	0.677743260959526	0.707063505192812	0.701214374879341	0.706821601156423	0.71467646118828	0.717771581686785	0.705706713053644	0.722067493569787	0.719333491895043	0.732540012355893	0.712819236881004
1	8500000.5	0.663952472961385	0.681465894356965	0.665318381754195	0.679818608644376	0.672256566354106	0.67668242643716	0.671145500293812	0.677853552687111	0.679179342224055	0.675209930100924	0.685322973000592	0.691223646424588	0.696468411370295	0.692765183795919	0.693580119109815	0.697814983472635	0.68962778648844	0.695044505343738	0.686501022591871	0.684803039025367
1	9500000.5	0.68246082664885	0.709371404716155	0.690240604607975	0.713978642627626	0.717101480751644	0.704563678230534	0.693876392461559	0.715599899514783	0.713666706831342	0.69912853358896	0.69527882418936	0.722691282459418	0.742938378079173	0.726727832847501	0.729123938586151	0.741735530992026	0.732285953746672	0.740894729196601	0.709944209859439	0.70921583853881
1	10500000.5	0.728451054908847	0.746060065516088	0.736119868628401	0.742140609222724	0.754258927681643	0.734719143597731	0.725892379473495	0.746155142317451	0.767673033166894	0.736990682564896	0.758342370282015	0.747842016397532	0.762048073165115	0.754882243783944	0.762776902138565	0.765665446657549	0.741913732782675	0.763265171285709	0.757033837642967	0.768522168788958
1	11500000.5	0.758939692051674	0.777809163691202	0.774830522824725	0.761346141852124	0.768810055646676	0.768079405755393	0.77057490748165	0.766483276591955	0.779200704878024	0.773014832189165	0.790402111119063	0.774883685821328	0.755260874071738	0.795339422522874	0.757162734112065	0.788021056676874	0.769218337424296	0.766475361395205	0.771593558352396	0.776534877352493
1	12500000.5	0.655610184280475	0.690815513466285	0.684958027852057	0.667270595730957	0.648658845602362	0.677754444777321	0.684143582267391	0.66052044521127	0.687533407986768	0.677686329295208	0.692098130891544	0.671708660183746	0.711130671987803	0.688418972685089	0.711711188885417	0.688574406319847	0.685686431808201	0.694035185637376	0.689915049552066	0.658850225371349
