Chr	Start	End	Comparison	JRIAL2A	JRIAL2B	JRIAL2C	JRIAL2D	JRIAL2E	JRIAL2F	JRIAL2G	JRIAL2H	JRIAL2I	JRIAL2J	JRIAL2K	JRIAL2L	JRIAL2M	JRIAL2N	JRIAL2O	JRIAL2P	JRIAL2Q	JRIAL2R	JRIAL2S	JRIAL2T	AMES-8235	PI-620767	PI-620773	PI-620774	PI-620784	PI-620785	PI-620797	PI-620819	PI-620821	PI-620834	PI-620842	PI-620846	PI-620856	PI-620859	PI-620860	PI-628503	PI-628514	A632	B37	B73	B97	CML322	HP301	IL14	LH123HT	LH82	Mo17	Oh43	P39	PHZ51	Tx303
1	172315	172432	Teosinte/Landrace	0.95	0.944761905	0.983682984	0.975992063	0.380793651	0.026666667	0.958888889	0.965656566	0.899822215	0.94047619	0.514047619	1	0.973333333	0.89973545	0.875238095	0.937003968	0.916666667	0.947619048	0.947272727	0.251698487	0.016666667	0	0.822916667	0.716666667	0.177777778	0.963333333	1	0.191666667	0	0.033333333	0.897460317	0.009090909	0	0.330952381	0.893939394	0.583333333	0.742592593	0.008333333	0.865079365	0.006578947	0.821428571	0	0.977777778	0.03984127	0.811825397	0	0.976190476	0.004273504	0.976190476	0	0
1	176352	177236	Teosinte/Maize	0.902781955	0.932940051	0.958351049	0.937611471	0.962783447	0.346821885	0.923948249	0.941693723	0.954844523	0.920661673	0.941325439	0.922839506	0.930873888	0.865797803	0.965831444	0.949107143	0.969144144	0.957667835	0.960207625	0.94462482	0.959325397	0.95787037	0.989542484	0.169154457	0.475733855	0.936134102	0.965517241	0.948333333	0.956280193	0.530702528	0.698896499	0.092026578	0.934027778	0.947232529	0.986486486	0.970238095	0.930555556	0.013764881	0.898839977	0.966242844	0.018939394	0.02707053	0.903344034	0.908900348	0.04991276	0.007352941	0.959398883	0.897978684	0.958009994	0.0185	0
1	180304	181274	Teosinte/Maize	0.943518519	0.947719217	0.917927682	0.966879252	0.942932489	0.241854094	0.942957656	0.939146825	0.928976138	0.918415351	0.935998878	0.901436442	0.943219462	0.833089599	0.957320226	0.786623021	0.425425563	0.925175592	0.951455702	0.905952381	0.91091954	0.969246032	0.25275842	0.02027027	0.104956268	0.976630652	0.926785714	0.695175439	0.479022989	0.483637874	0.942267172	0.909448622	0.903846154	0.960447761	0.340972222	0.984463277	0.393276515	0.016276042	0.002380952	0.909697511	0.015079365	0.017957568	0.045516437	0.891170256	0.905885943	0.006140351	0.950115332	0.909718458	0.85212766	0.021805007	0.015402735
1	209303	209725	Teosinte/Maize	0.847172619	0.891509402	0.964213564	0.948536456	0.920503585	0.900444749	0.912198828	0.950902184	0.940751504	0.857371536	0.932459115	0.905715639	0.904255319	0.874162946	0.917170894	0.925272676	0.944050676	0.954101816	0.946200881	0.934468824	0.871404276	0.897959184	0.878153345	0.951550388	0.667816092	0.889166667	0.928571429	0.720720721	0.961437908	0.879251701	0.971428571	0.837931034	0.722222222	0.698199023	0.988372093	0.904923325	0.853535354	0.033272727	0.03436853	0.041666667	0	0.018018018	0.015503876	0.019927081	0.032520325	0.013207547	0.578792261	0.016798942	0	0.010638298	0.106589147
1	209390	209725	Landrace/Maize	0.853716609	0.859085756	0.965249433	0.955097548	0.911185838	0.864393655	0.925188106	0.949372074	0.937820381	0.800419501	0.909998196	0.874185735	0.853333333	0.83319161	0.917522557	0.907230522	0.946603793	0.957966086	0.92899762	0.922988953	0.775952381	0.846153846	0.786768353	0.922839506	0.619444444	0.851315789	0.928571429	0.602564103	0.934567901	0.825757576	0.956521739	0.837931034	0.722222222	0.698199023	0.973684211	0.878344671	0.785714286	0	0.009090909	0.013888889	0	0.002898551	0	0	0	0	0.556911045	0.00297619	0	0.02173913	0
1	210119	210619	Teosinte/Maize	0.851354516	0.446832518	0.873667266	0.876362945	0.430597891	0.564086337	0.926914804	0.912162794	0.794601942	0.926452531	0.692352229	0.275483845	0.908169935	0.662365255	0.680017882	0.953377911	0.893108281	0.920757139	0.591578181	0.798037876	0	0.285055724	0	0.195026455	0	0	0	0.331176999	0.164285714	0	0	0	0	0.01461039	0	0.511949686	0.02020202	0.010661875	0.006666667	0.011494253	0	0.007359307	0	0.002289123	0.001818182	0	0.543499964	0.002525253	0.01884058	0.107843137	0
1	210239	210456	Teosinte/Landrace	0.763203463	0.389803396	0.913519431	0.868280092	0.444691946	0.554086493	0.95803526	0.929707188	0.804329379	0.93407225	0.606203195	0.279114564	0.902469136	0.670517414	0.648097496	0.949317923	0.879692243	0.906776557	0.590220412	0.804569648	0	0.30952381	0	0.137931034	0	0	0	0.308702791	0.034482759	0	0	0	0	0.004926108	0	0.485632184	0.00877193	0.01182266	0	0.025641026	0	0.005347594	0	0.002155172	0	0	0.53675779	0.006060606	0.010869565	0	0
1	214744	215498	Teosinte/Maize	0.890268759	0.915802469	0.944315245	0.830659141	0.947268365	0.946595072	0.929961008	0.949620565	0.933959493	0.942225403	0.936490336	0.422494326	0.971258035	0.933246098	0.910476261	0.924903229	0.909949452	0.961115075	0.948965283	0.915444531	0.649537037	0.21577381	0.760363248	0.270833333	0.872427035	0.946759259	0.957352941	0.466620879	0.368569094	0.674845679	0.503571429	0.213667582	0.192307692	0.934210526	0.883928571	0.980555556	0.451766513	0.256495202	0.239321761	0.1028335	0	0.383457385	0.242137829	0.210423189	0.182359307	0.268508467	0.898076529	0.00140056	0.205411718	0	0.291161933
1	262589	263454	Teosinte/Maize	0.91907678	0.938028766	0.883840741	0.941035956	0.927833032	0.879328165	0.936945435	0.935719107	0.916238701	0.889906658	0.960433467	0.838634697	0.934026776	0.895217056	0.939278474	0.776461834	0.3934375	0.928902546	0.949776052	0.952010582	0.004045307	0.011111111	0.013283208	0.006422018	0.011445783	0.346813372	0.003401361	0.016203704	0.005050505	0	0.00877193	0.943661972	0.007936508	0.008996212	0.005782313	0.003606443	0.002747253	0.003968254	0.010996564	0.003407915	0.007075472	0.000736377	0.000925926	0.005772185	0.006788351	0	0.020833333	0.001035197	0.003861004	0.003144654	0.010408783
1	262694	263201	Teosinte/Landrace	0.925901056	0.950892857	0.873125592	0.944555385	0.925531915	0.867010309	0.937160935	0.934429876	0.903254405	0.902777778	0.973460317	0.817453674	0.947531513	0.885208284	0.931060722	0.735857586	0.403431373	0.918280233	0.955661748	0.963911695	0.002252252	0.011111111	0.01108509	0.008433735	0.013970588	0.324279236	0.004166667	0.010416667	0	0	0.009090909	0.936507937	0.009689922	0.004107981	0.006424792	0.004971042	0.003616637	0.00534188	0.015920398	0.002386432	0.006666667	0.001006036	0	0.004	0.004660505	0	0	0.001298701	0.005494505	0	0.008433601
