trait,Her_K1,Her_K2,Her_K3,Her_Top,Her_ALL,pretty_name,h2
asiavg,0,0,0.726397,0,0.722882,Anthesis-silking interval,0.726397
dtaavg,0,0,0.830842,0,0.791625,NA,0.830842
dtsavg,0.02082,0,0.803274,0,0.81394,NA,0.824094
ehtavg,0.008586,0,0.795173,0,0.795655,Ear height,0.803759
ehtdivphtavg,0.009494,0,0.747935,0,0.746355,Ratio of ear height to total height,0.757429
Kwt_5loc_residuals,0,0,0.670644,0,0.638359,100 Kernel weight,0.670644
nlb_residuals,0,0,0.861531,0,0.824649,Northern Leaf Blight,0.861531
nphavg,0,0,0.888045,0,0.749747,Nodes per plant,0.888045
nteavg,0.004437,0,0.755862,0,0.753822,Nodes to ear,0.760299
nttavg,0.025332,0,0.753203,0,0.770158,Nodes above ear,0.778535
phtavg,0.003258,0,0.80894,0,0.804573,Plant height,0.812198
phtdivdtravg,0,0,0.776964,0,0.768345,Height per day (until flowering),0.776964
phtdivnphavg,0.00406,0,0.774954,0,0.767735,Average internode length (whole plant),0.779014
ppgddta_pop,0,0,0.630333,0,0.62325,Photoperiod growing-degree days to anthesis,0.630333
ppgddts_pop,0.013199,0,0.62698,0,0.628013,Photoperiod Growing-degree days to silk,0.640179
Residual_leaf_length_noIBM,0,0,0.798742,0,0.788936,Leaf length,0.798742
Residual_leaf_width_noIBM,0.030689,0.014394,0.754312,0,0.799394,Leaf width,0.799395
residuals_distancebased_for_d2a,0,0,0.806133,0,0.789438,Days to anthesis,0.806133
residuals_distancebased_for_d2s,0.013696,0,0.807083,0,0.809833,Days to silk,0.820779
residuals_distancebased_for_slbv2,0,0,0.773825,0,0.752832,Southern leaf blight,0.773825
rpravg,0,0,0.267312,0,0.185807,Stalk strength,0.267312
sf_residuals_nopop,0.028405,0,0.779022,0,0.800261,Cob diameter,0.807427
so_residuals_nopop,0.022741,0,0.811956,0,0.809625,Ear row number,0.834697
tassel_branches,0,0.000735,0.841924,0,0.828321,Tassel branch number,0.842659
tassel_length,0.006216,0,0.783766,0,0.783141,Tassel length,0.789982
thtavg,0.00973,0,0.76695,0,0.750016,Height above ear,0.77668
thtdivnttavg,0.004624,0,0.686457,0,0.685715,Average internode length (above ear),0.691081
