Type,chr,start,stop,q-value,mean_methylation_difference,#CpGs,p(MWU),p(2D KS),POP A,POP B,Compare
CG,1,172315,172432,1.80E-06,0.403333,8,4.40E-14,3.40E-12,0.82864,0.42531,Teosinte/Landrace
CG,1,210239,210456,4.60E-49,0.641564,15,5.30E-14,8.50E-55,0.73282,0.091257,Teosinte/Landrace
CG,1,262694,263201,4.40E-170,0.808495,42,6.30E-14,8.20E-176,0.89077,0.082274,Teosinte/Landrace
CG,1,279903,280004,1.20E-12,0.463701,8,4.50E-14,2.20E-18,0.5486,0.084897,Teosinte/Landrace
CG,1,379034,379327,3.30E-14,-0.404194,13,4.30E-14,6.20E-20,0.33257,0.73676,Teosinte/Landrace
CG,1,5703072,5703214,6.30E-20,-0.482198,14,4.70E-14,1.20E-25,0.24957,0.73177,Teosinte/Landrace
CG,1,32366480,32366777,1.10E-34,-0.597792,15,5.30E-14,2.10E-40,0.2007,0.7985,Teosinte/Landrace
CG,1,32617175,32617332,1.20E-10,0.409084,9,4.10E-14,2.20E-16,0.45175,0.042671,Teosinte/Landrace
CG,1,46643487,46644117,4.90E-203,0.830002,42,5.20E-14,9.10E-209,0.83965,0.0096477,Teosinte/Landrace
CG,1,50011319,50011464,1.80E-13,-0.461886,11,4.80E-14,3.40E-19,0.25952,0.72141,Teosinte/Landrace
CG,1,50506066,50506262,3.00E-25,-0.437272,11,4.10E-14,5.60E-31,0.0082746,0.44555,Teosinte/Landrace
CG,1,60602543,60602648,2.40E-23,0.509373,10,4.90E-14,4.40E-29,0.93116,0.42179,Teosinte/Landrace
CG,1,62874439,62874671,2.70E-27,0.441006,17,3.80E-14,5.10E-33,0.80971,0.36871,Teosinte/Landrace
CG,1,62881041,62881633,1.60E-68,0.530565,28,3.40E-14,2.90E-74,0.88377,0.3532,Teosinte/Landrace
CG,1,65446659,65446852,5.40E-37,0.72998,9,3.90E-14,1.00E-42,0.89616,0.16618,Teosinte/Landrace
CG,1,70217454,70217804,1.80E-25,-0.607275,11,3.90E-14,3.30E-31,0.25721,0.86448,Teosinte/Landrace
CG,1,80851514,80851834,6.10E-67,0.871669,13,3.50E-14,1.10E-72,0.8857,0.01403,Teosinte/Landrace
CG,1,81803786,81803871,5.10E-12,-0.467369,9,4.50E-14,9.40E-18,0.23166,0.69903,Teosinte/Landrace
CG,1,87469380,87469601,5.50E-35,0.627516,11,5.00E-14,1.00E-40,0.90701,0.27949,Teosinte/Landrace
CG,1,98784222,98784511,1.10E-51,-0.514357,21,5.40E-14,2.00E-57,0.40517,0.91952,Teosinte/Landrace
CG,1,115413043,115413317,1.00E-15,0.469822,12,4.40E-14,1.90E-21,0.81103,0.34121,Teosinte/Landrace
CG,1,119935900,119936657,3.80E-34,0.79586,8,4.90E-14,7.10E-40,0.90345,0.10759,Teosinte/Landrace
CG,1,119937049,119937391,1.50E-67,0.831432,13,5.10E-14,2.80E-73,0.83454,0.0031076,Teosinte/Landrace
CG,1,120206066,120206225,4.00E-06,0.407384,9,4.50E-14,7.40E-12,0.89648,0.4891,Teosinte/Landrace
CG,1,126728282,126728441,1.10E-12,0.533066,8,4.20E-14,2.00E-18,0.76807,0.23501,Teosinte/Landrace
CG,1,127254663,127254800,1.40E-15,-0.514373,8,4.00E-14,2.50E-21,0.40222,0.9166,Teosinte/Landrace
CG,1,128775359,128775637,1.40E-94,0.681678,25,2.90E-14,2.60E-100,0.72609,0.044417,Teosinte/Landrace
CG,1,129828546,129829765,9.40E-208,0.627665,77,0,1.70E-213,0.64011,0.012442,Teosinte/Landrace
CG,1,130473811,130474317,2.70E-101,-0.602558,36,2.70E-14,5.00E-107,0.3284,0.93096,Teosinte/Landrace
CG,1,130926476,130926616,9.70E-33,0.691102,8,4.20E-14,1.80E-38,0.71721,0.02611,Teosinte/Landrace
CG,1,140038632,140039059,1.20E-47,0.7863,13,4.00E-14,2.30E-53,0.87787,0.091568,Teosinte/Landrace
CG,1,145680107,145680466,5.10E-37,0.776665,9,4.90E-14,9.40E-43,0.85498,0.07831,Teosinte/Landrace
CG,1,146473238,146473563,1.20E-28,0.486738,12,3.90E-14,2.30E-34,0.62015,0.13342,Teosinte/Landrace
CG,1,159291821,159292000,9.20E-33,0.546373,11,4.80E-14,1.70E-38,0.64582,0.099445,Teosinte/Landrace
CG,1,166625171,166625937,9.50E-54,-0.513119,29,5.20E-14,1.80E-59,0.22625,0.73937,Teosinte/Landrace
CG,1,167546682,167546953,1.10E-28,0.470297,14,3.60E-14,2.10E-34,0.73848,0.26819,Teosinte/Landrace
CG,1,170397869,170398457,6.10E-31,0.413187,27,4.50E-14,1.10E-36,0.89397,0.48078,Teosinte/Landrace
CG,1,187734838,187735021,1.00E-29,0.660588,10,3.80E-14,1.90E-35,0.83037,0.16979,Teosinte/Landrace
CG,1,190266974,190267338,4.80E-36,-0.482503,21,3.70E-14,9.00E-42,0.25751,0.74001,Teosinte/Landrace
CG,1,193699651,193699777,1.10E-20,-0.640258,8,4.30E-14,2.00E-26,0.17986,0.82012,Teosinte/Landrace
CG,1,203705970,203706319,1.30E-19,0.467736,13,4.00E-14,2.50E-25,0.81416,0.34642,Teosinte/Landrace
CG,1,206171554,206171778,1.60E-30,0.766243,8,3.90E-14,3.00E-36,0.91751,0.15127,Teosinte/Landrace
CG,1,210710860,210711227,7.60E-105,0.688504,25,6.70E-14,1.40E-110,0.90512,0.21662,Teosinte/Landrace
CG,1,215322526,215322824,1.50E-28,-0.424057,15,4.50E-14,2.70E-34,0.15763,0.58168,Teosinte/Landrace
CG,1,223058854,223059423,5.60E-46,-0.519881,25,4.20E-14,1.00E-51,0.30699,0.82687,Teosinte/Landrace
CG,1,223973456,223973597,4.20E-24,0.585073,12,3.70E-14,7.70E-30,0.78134,0.19627,Teosinte/Landrace
CG,1,233408436,233408570,3.20E-49,0.794832,13,4.60E-14,6.00E-55,0.93863,0.14379,Teosinte/Landrace
CG,1,235508982,235509197,7.80E-55,0.632681,13,3.60E-14,1.50E-60,0.89143,0.25875,Teosinte/Landrace
CG,1,238131262,238131571,6.20E-91,0.606696,28,3.30E-14,1.20E-96,0.61121,0.0045118,Teosinte/Landrace
CG,1,240613201,240613434,9.50E-12,0.43746,8,4.10E-14,1.80E-17,0.93046,0.493,Teosinte/Landrace
CG,1,246988631,246989004,5.10E-37,-0.40693,27,3.10E-14,9.50E-43,0.14933,0.55626,Teosinte/Landrace
CG,1,247461344,247462021,1.60E-30,0.534776,18,4.40E-14,3.00E-36,0.87732,0.34254,Teosinte/Landrace
CG,1,255171226,255171404,7.00E-17,-0.457253,12,4.70E-14,1.30E-22,0.02849,0.48574,Teosinte/Landrace
CG,1,259922437,259922828,1.40E-85,-0.510768,39,5.90E-14,2.70E-91,0.040606,0.55137,Teosinte/Landrace
CG,1,262821951,262822312,9.60E-35,-0.478068,21,3.80E-14,1.80E-40,0.14542,0.62349,Teosinte/Landrace
CG,1,269309417,269309789,1.70E-87,-0.537143,24,2.20E-14,3.20E-93,0.029938,0.56708,Teosinte/Landrace
CG,1,299653740,299653996,6.70E-36,0.731376,9,4.60E-14,1.20E-41,0.91776,0.18638,Teosinte/Landrace
CG,1,300736935,300737138,1.30E-25,-0.532729,13,5.00E-14,2.40E-31,0.26944,0.80217,Teosinte/Landrace
CG,1,302627520,302627893,5.00E-132,0.706906,36,5.80E-14,9.30E-138,0.90763,0.20073,Teosinte/Landrace
CG,1,302931790,302932085,2.40E-54,0.464727,17,4.60E-14,4.50E-60,0.47066,0.0059311,Teosinte/Landrace
CG,2,936498,936873,2.50E-43,-0.452109,26,4.20E-14,4.60E-49,0.16603,0.61814,Teosinte/Landrace
CG,2,1249783,1250371,1.30E-47,0.438037,20,5.10E-14,2.40E-53,0.49362,0.055581,Teosinte/Landrace
CG,2,8230364,8230475,1.60E-08,0.463346,8,4.20E-14,2.90E-14,0.67016,0.20682,Teosinte/Landrace
CG,2,8233416,8233932,2.30E-56,-0.40654,27,4.90E-14,4.20E-62,0.47192,0.87846,Teosinte/Landrace
CG,2,12563772,12563997,6.60E-18,-0.525515,10,5.00E-14,1.20E-23,0.1793,0.70481,Teosinte/Landrace
CG,2,19423440,19423631,3.30E-14,-0.441496,8,4.40E-14,6.10E-20,0.025933,0.46743,Teosinte/Landrace
CG,2,24290771,24290862,2.30E-19,-0.408983,8,4.40E-14,4.30E-25,0.034876,0.44386,Teosinte/Landrace
CG,2,25651012,25651390,6.40E-35,0.467013,20,5.80E-14,1.20E-40,0.8614,0.39439,Teosinte/Landrace
CG,2,25731208,25731424,1.10E-40,0.489939,16,4.10E-14,2.00E-46,0.80747,0.31753,Teosinte/Landrace
CG,2,26844497,26844865,9.80E-59,0.530806,20,4.60E-14,1.80E-64,0.61317,0.082365,Teosinte/Landrace
CG,2,34775670,34775879,8.70E-23,-0.484388,15,4.80E-14,1.60E-28,0.23519,0.71958,Teosinte/Landrace
