DMR_Chr	DMR_S	DMR_E	m(P1-P2)	Sweep_Chr	Sweep_S	Sweep__E	XPCLR	DMR_Type
1	14522183	14522872	0.535324	1	14395001	14590000	66.62027357	CG_TEO_MZ_Hypo_DMR_sweep
1	80851634	80852178	0.889715	1	80840001	80960000	99.83077316	CG_TEO_MZ_Hypo_DMR_sweep
1	118122360	118122518	0.875744	1	118110001	118270000	97.77183806	CG_TEO_MZ_Hypo_DMR_sweep
1	118123239	118123758	0.525933	1	118110001	118270000	97.77183806	CG_TEO_MZ_Hypo_DMR_sweep
1	119922625	119923317	0.825481	1	119560001	120050000	109.709553	CG_TEO_MZ_Hypo_DMR_sweep
1	119937001	119937335	0.830013	1	119560001	120050000	109.709553	CG_TEO_MZ_Hypo_DMR_sweep
1	127360375	127360598	0.477004	1	126720001	127370000	125.5998028	CG_TEO_MZ_Hypo_DMR_sweep
1	127862503	127862699	0.497938	1	127525001	129020000	148.1444861	CG_TEO_MZ_Hypo_DMR_sweep
1	128761289	128761566	0.405359	1	127525001	129020000	148.1444861	CG_TEO_MZ_Hypo_DMR_sweep
1	128775253	128775637	0.709437	1	127525001	129020000	148.1444861	CG_TEO_MZ_Hypo_DMR_sweep
1	129828546	129829765	0.5608	1	129610001	130695000	101.9807369	CG_TEO_MZ_Hypo_DMR_sweep
1	130926448	130926768	0.561921	1	130745001	131505000	99.98313809	CG_TEO_MZ_Hypo_DMR_sweep
1	135668406	135668949	0.839106	1	134730001	136270000	141.8468933	CG_TEO_MZ_Hypo_DMR_sweep
1	137652238	137652317	0.733895	1	137540001	138255000	125.5053817	CG_TEO_MZ_Hypo_DMR_sweep
1	139367230	139367635	0.837585	1	139275001	139775000	110.6194361	CG_TEO_MZ_Hypo_DMR_sweep
1	139460699	139460952	0.66198	1	139275001	139775000	110.6194361	CG_TEO_MZ_Hypo_DMR_sweep
1	140038533	140039212	0.884786	1	139900001	140925000	138.2913258	CG_TEO_MZ_Hypo_DMR_sweep
1	140851632	140851811	0.56446	1	139900001	140925000	138.2913258	CG_TEO_MZ_Hypo_DMR_sweep
1	148438548	148438802	0.823604	1	148370001	148560000	60.98207418	CG_TEO_MZ_Hypo_DMR_sweep
