Chr	Start	End	Gdist
1	1e+05	2e+05	0.410135229370056
1	2e+05	3e+05	0.409677215569533
1	3e+05	4e+05	0.409219201769011
1	4e+05	5e+05	0.408761187968488
1	5e+05	6e+05	0.408303174167966
1	6e+05	7e+05	0.407845160367444
1	7e+05	8e+05	0.407387146566921
1	8e+05	9e+05	0.406929132766399
1	9e+05	1e+06	0.406471118965877
1	1e+06	1100000	0.406013105165354
1	1100000	1200000	0.405555091364832
1	1200000	1300000	0.405097077564309
1	1300000	1400000	0.404639063763787
1	1400000	1500000	0.404181049963265
1	1500000	1600000	0.403723036162742
1	1600000	1700000	0.40326502236222
1	1700000	1800000	0.402807008561697
1	1800000	1900000	0.402348994761175
1	1900000	2e+06	0.401890980960653
1	2e+06	2100000	0.40143296716013
1	2100000	2200000	0.400974953359608
1	2200000	2300000	0.400516939559085
1	2300000	2400000	0.400058925758563
1	2400000	2500000	0.399600911958041
1	2500000	2600000	0.399142898157518
1	2600000	2700000	0.398684884356996
1	2700000	2800000	0.398226870556473
1	2800000	2900000	0.397768856755951
1	2900000	3e+06	0.397310842955429
1	3e+06	3100000	0.396852829154906
1	3100000	3200000	0.396394815354384
1	3200000	3300000	0.395819576644017
1	3300000	3400000	0.395244337933651
1	3400000	3500000	0.394669099223284
1	3500000	3600000	0.394093860512918
1	3600000	3700000	0.393518621802551
1	3700000	3800000	0.392943383092185
1	3800000	3900000	0.392368144381818
1	3900000	4e+06	0.391792905671452
1	4e+06	4100000	0.391217666961085
1	4100000	4200000	0.390642428250719
1	4200000	4300000	0.390067189540352
1	4300000	4400000	0.389491950829986
1	4400000	4500000	0.388916712119619
1	4500000	4600000	0.388341473409253
1	4600000	4700000	0.387766234698886
1	4700000	4800000	0.38719099598852
1	4800000	4900000	0.386615757278153
1	4900000	5e+06	0.386040518567787
1	5e+06	5100000	0.38546527985742
1	5100000	5200000	0.384890041147054
1	5200000	5300000	0.384314802436687
1	5300000	5400000	0.383739563726321
1	5400000	5500000	0.383164325015954
1	5500000	5600000	0.382589086305588
1	5600000	5700000	0.382013847595221
1	5700000	5800000	0.381438608884855
1	5800000	5900000	0.380863370174488
1	5900000	6e+06	0.380288131464122
1	6e+06	6100000	0.379712892753755
1	6100000	6200000	0.379137654043389
1	6200000	6300000	0.378558673838913
1	6300000	6400000	0.377979693634437
1	6400000	6500000	0.37740071342996
1	6500000	6600000	0.376821733225484
1	6600000	6700000	0.376242753021008
1	6700000	6800000	0.375663772816532
1	6800000	6900000	0.375084792612056
1	6900000	7e+06	0.37450581240758
1	7e+06	7100000	0.373926832203104
1	7100000	7200000	0.373347851998628
1	7200000	7300000	0.372768871794152
1	7300000	7400000	0.372189891589676
1	7400000	7500000	0.371610911385199
1	7500000	7600000	0.371031931180723
1	7600000	7700000	0.370452950976247
1	7700000	7800000	0.369873970771771
1	7800000	7900000	0.369294990567295
1	7900000	8e+06	0.368716010362819
1	8e+06	8100000	0.368137030158343
1	8100000	8200000	0.367558049953867
1	8200000	8300000	0.366979069749391
1	8300000	8400000	0.366400089544915
1	8400000	8500000	0.365821109340438
1	8500000	8600000	0.365242129135962
1	8600000	8700000	0.364663148931486
1	8700000	8800000	0.36408416872701
1	8800000	8900000	0.363505188522534
1	8900000	9e+06	0.362926208318058
1	9e+06	9100000	0.362347228113582
1	9100000	9200000	0.361768247909106
1	9200000	9300000	0.36003723505135
1	9300000	9400000	0.358306222193595
1	9400000	9500000	0.356575209335839
1	9500000	9600000	0.354844196478084
1	9600000	9700000	0.353113183620328
1	9700000	9800000	0.351382170762573
1	9800000	9900000	0.349651157904817
1	9900000	1e+07	0.347920145047062
1	1e+07	10100000	0.346189132189306
1	10100000	10200000	0.344458119331551
1	10200000	10300000	0.342727106473795
1	10300000	10400000	0.34099609361604
1	10400000	10500000	0.339265080758284
1	10500000	10600000	0.337534067900529
1	10600000	10700000	0.335803055042773
1	10700000	10800000	0.334072042185018
1	10800000	10900000	0.332341029327262
1	10900000	1.1e+07	0.330610016469507
1	1.1e+07	11100000	0.328879003611751
1	11100000	11200000	0.327147990753996
1	11200000	11300000	0.32541697789624
1	11300000	11400000	0.323685965038485
1	11400000	11500000	0.321954952180729
1	11500000	11600000	0.320223939322974
1	11600000	11700000	0.318492926465218
1	11700000	11800000	0.316761913607463
1	11800000	11900000	0.315030900749707
1	11900000	1.2e+07	0.313299887891952
1	1.2e+07	12100000	0.311568875034197
1	12100000	12200000	0.309837862176441
1	12200000	12300000	0.307657072929514
1	12300000	12400000	0.305476283682588
1	12400000	12500000	0.303295494435661
1	12500000	12600000	0.301114705188734
1	12600000	12700000	0.298933915941808
1	12700000	12800000	0.296753126694881
1	12800000	12900000	0.294572337447954
1	12900000	1.3e+07	0.292391548201027
1	1.3e+07	13100000	0.290210758954101
1	13100000	13200000	0.288029969707174
1	13200000	13300000	0.285849180460247
1	13300000	13400000	0.283668391213321
1	13400000	13500000	0.281487601966394
1	13500000	13600000	0.279306812719467
1	13600000	13700000	0.277126023472541
1	13700000	13800000	0.274945234225614
1	13800000	13900000	0.272764444978687
1	13900000	1.4e+07	0.27058365573176
1	1.4e+07	14100000	0.268402866484834
1	14100000	14200000	0.266222077237907
1	14200000	14300000	0.26404128799098
1	14300000	14400000	0.261860498744054
1	14400000	14500000	0.259679709497127
1	14500000	14600000	0.2574989202502
1	14600000	14700000	0.255318131003274
1	14700000	14800000	0.253137341756347
1	14800000	14900000	0.25095655250942
1	14900000	1.5e+07	0.248775763262494
1	1.5e+07	15100000	0.246594974015567
1	15100000	15200000	0.24441418476864
1	15200000	15300000	0.243139587894532
1	15300000	15400000	0.241864991020424
1	15400000	15500000	0.240590394146316
1	15500000	15600000	0.239315797272207
1	15600000	15700000	0.238041200398099
1	15700000	15800000	0.236766603523991
1	15800000	15900000	0.235492006649883
1	15900000	1.6e+07	0.234217409775775
1	1.6e+07	16100000	0.232942812901666
1	16100000	16200000	0.231668216027558
1	16200000	16300000	0.23039361915345
1	16300000	16400000	0.229119022279342
1	16400000	16500000	0.227844425405234
1	16500000	16600000	0.226569828531126
1	16600000	16700000	0.225295231657017
1	16700000	16800000	0.224020634782909
1	16800000	16900000	0.222746037908801
1	16900000	1.7e+07	0.221471441034693
1	1.7e+07	17100000	0.220196844160585
1	17100000	17200000	0.218922247286476
1	17200000	17300000	0.217647650412368
1	17300000	17400000	0.21637305353826
1	17400000	17500000	0.215098456664152
1	17500000	17600000	0.213823859790044
1	17600000	17700000	0.212549262915936
1	17700000	17800000	0.211274666041827
1	17800000	17900000	0.210000069167719
1	17900000	1.8e+07	0.208725472293611
1	1.8e+07	18100000	0.207450875419503
1	18100000	18200000	0.206176278545395
1	18200000	18300000	0.205777844555299
1	18300000	18400000	0.205379410565204
1	18400000	18500000	0.204980976575109
1	18500000	18600000	0.204582542585013
1	18600000	18700000	0.204184108594918
1	18700000	18800000	0.203785674604822
1	18800000	18900000	0.203387240614727
1	18900000	1.9e+07	0.202988806624632
1	1.9e+07	19100000	0.202590372634536
1	19100000	19200000	0.202191938644441
1	19200000	19300000	0.201793504654346
1	19300000	19400000	0.20139507066425
1	19400000	19500000	0.200996636674155
1	19500000	19600000	0.20059820268406
1	19600000	19700000	0.200199768693964
1	19700000	19800000	0.199801334703869
1	19800000	19900000	0.199402900713773
1	19900000	2e+07	0.199004466723678
1	2e+07	20100000	0.198606032733583
1	20100000	20200000	0.198207598743487
1	20200000	20300000	0.197809164753392
1	20300000	20400000	0.197410730763297
1	20400000	20500000	0.197012296773201
1	20500000	20600000	0.196613862783106
1	20600000	20700000	0.196215428793011
1	20700000	20800000	0.195816994802915
1	20800000	20900000	0.19541856081282
1	20900000	2.1e+07	0.195020126822725
1	2.1e+07	21100000	0.194621692832629
1	21100000	21200000	0.194223258842534
1	21200000	21300000	0.194060796150067
1	21300000	21400000	0.193898333457601
1	21400000	21500000	0.193735870765135
1	21500000	21600000	0.193573408072668
1	21600000	21700000	0.193410945380202
1	21700000	21800000	0.193248482687736
1	21800000	21900000	0.193086019995269
1	21900000	2.2e+07	0.192923557302803
1	2.2e+07	22100000	0.192761094610337
1	22100000	22200000	0.19259863191787
1	22200000	22300000	0.192436169225404
1	22300000	22400000	0.192273706532938
1	22400000	22500000	0.192111243840471
1	22500000	22600000	0.191948781148005
1	22600000	22700000	0.191786318455539
1	22700000	22800000	0.191623855763072
1	22800000	22900000	0.191461393070606
1	22900000	2.3e+07	0.191298930378139
1	2.3e+07	23100000	0.191136467685673
1	23100000	23200000	0.190974004993207
1	23200000	23300000	0.19081154230074
1	23300000	23400000	0.190649079608274
1	23400000	23500000	0.190486616915808
1	23500000	23600000	0.190324154223341
1	23600000	23700000	0.190161691530875
1	23700000	23800000	0.189999228838409
1	23800000	23900000	0.189836766145942
1	23900000	2.4e+07	0.189674303453476
1	2.4e+07	24100000	0.18951184076101
1	24100000	24200000	0.189349378068543
1	24200000	24300000	0.189040680818328
1	24300000	24400000	0.188731983568113
1	24400000	24500000	0.188423286317898
1	24500000	24600000	0.188114589067683
1	24600000	24700000	0.187805891817468
1	24700000	24800000	0.187497194567253
1	24800000	24900000	0.187188497317038
1	24900000	2.5e+07	0.186879800066823
1	2.5e+07	25100000	0.186571102816608
1	25100000	25200000	0.186262405566393
1	25200000	25300000	0.185953708316178
1	25300000	25400000	0.185645011065963
1	25400000	25500000	0.185336313815747
1	25500000	25600000	0.185027616565532
1	25600000	25700000	0.184718919315317
1	25700000	25800000	0.184410222065102
1	25800000	25900000	0.184101524814887
1	25900000	2.6e+07	0.183792827564672
1	2.6e+07	26100000	0.183484130314457
1	26100000	26200000	0.183175433064242
1	26200000	26300000	0.182866735814027
1	26300000	26400000	0.182558038563812
1	26400000	26500000	0.182249341313597
1	26500000	26600000	0.181940644063382
1	26600000	26700000	0.181631946813167
1	26700000	26800000	0.181323249562952
1	26800000	26900000	0.181014552312737
1	26900000	2.7e+07	0.180705855062522
1	2.7e+07	27100000	0.180397157812307
1	27100000	27200000	0.180088460562092
1	27200000	27300000	0.179826553344181
1	27300000	27400000	0.17956464612627
1	27400000	27500000	0.179302738908359
1	27500000	27600000	0.179040831690448
1	27600000	27700000	0.178778924472537
1	27700000	27800000	0.178517017254625
1	27800000	27900000	0.178255110036714
1	27900000	2.8e+07	0.177993202818803
1	2.8e+07	28100000	0.177731295600892
1	28100000	28200000	0.177469388382981
1	28200000	28300000	0.17720748116507
1	28300000	28400000	0.176945573947159
1	28400000	28500000	0.176683666729248
1	28500000	28600000	0.176421759511337
1	28600000	28700000	0.176159852293426
1	28700000	28800000	0.175897945075515
1	28800000	28900000	0.175636037857604
1	28900000	2.9e+07	0.175374130639693
1	2.9e+07	29100000	0.175112223421782
1	29100000	29200000	0.174850316203871
1	29200000	29300000	0.17458840898596
1	29300000	29400000	0.174326501768049
1	29400000	29500000	0.174064594550138
1	29500000	29600000	0.173802687332227
1	29600000	29700000	0.173540780114316
1	29700000	29800000	0.173278872896405
1	29800000	29900000	0.173016965678494
1	29900000	3e+07	0.172755058460583
1	3e+07	30100000	0.172493151242672
1	30100000	30200000	0.172231244024761
1	30200000	30300000	0.172377069572725
1	30300000	30400000	0.172522895120689
1	30400000	30500000	0.172668720668653
1	30500000	30600000	0.172814546216617
1	30600000	30700000	0.172960371764581
1	30700000	30800000	0.173106197312545
1	30800000	30900000	0.173252022860509
1	30900000	3.1e+07	0.173397848408473
1	3.1e+07	31100000	0.173543673956437
1	31100000	31200000	0.173689499504401
1	31200000	31300000	0.173835325052365
1	31300000	31400000	0.17398115060033
1	31400000	31500000	0.174126976148294
1	31500000	31600000	0.174272801696258
1	31600000	31700000	0.174418627244222
